0.2876972,-4.2169967
-0.0133629,-3.9893563
-0.2877487,-3.6890768
-0.5094239,-3.3598679
-0.6920082,-3.0078970
-0.8458247,-2.6360099
-0.9682441,-2.2662518
-1.0623741,-1.8798447
-1.1223894,-1.4779564
-1.1335910,-1.0739419
-1.0681248,-0.6890183
-0.8938468,-0.3442874
-0.6198421,-0.0578331
-0.2901399,0.1654099
0.0783419,0.3346564
0.4553624,0.4445760
0.8433447,0.5071647
1.2412934,0.5288510
1.6326434,0.5126848
2.0234549,0.4604049
2.4083671,0.3675815
2.7749717,0.2344843
3.1203179,0.0470829
3.4301079,-0.2170452
3.6667863,-0.5403661
3.8189033,-0.9086961
3.8505513,-1.2929958
3.7538692,-1.6734900
3.5783246,-2.0332464
3.3672382,-2.3814672
3.1426971,-2.7068538
2.9011661,-3.0143872
2.6348830,-3.3160647
2.3677846,-3.5963813
2.0786739,-3.8812631
1.7768912,-4.1248187
1.4240517,-4.3131974
1.0446566,-4.4042733
0.6616837,-4.3733117
0.2876972,-4.2169967
