0.9035791,-3.0917300
0.6746060,-2.6616871
0.4990460,-2.1977209
0.4202568,-1.7064384
0.4583062,-1.2150809
0.6302247,-0.7575802
0.9260935,-0.3633620
1.2944775,-0.0474021
1.7122227,0.1922150
2.1824348,0.3617448
2.6467990,0.4598040
3.1509560,0.4971066
3.6570840,0.4583036
4.1383619,0.3328460
4.5654598,0.1034722
4.9151273,-0.2626731
5.1299512,-0.7086994
5.1797008,-1.1839630
5.0360391,-1.6583264
4.7856834,-2.0646397
4.5296307,-2.4609416
4.3884087,-2.9422660
4.3550900,-3.4386224
4.2870819,-3.9412733
4.0565925,-4.3647044
3.6465162,-4.6340401
3.1660840,-4.7426095
2.6724349,-4.6955316
2.2257159,-4.5188391
1.8177079,-4.2445371
1.4650193,-3.9015683
1.1694334,-3.5172712
0.9035791,-3.0917300
